이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
김재환,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,0.34,0.429,0.603,1.032,0.44,170.9,7.46,7.45
박건우,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,0.433,163.8,7.01,2.76
오재일,3.88,128,466,412,62,126,27,0,26,231,89,1,1,45,5,0,80,5,1,3,0.306,0.379,0.561,0.939,0.403,146.4,3.88,2.67
민병헌,3.36,123,520,447,73,136,21,0,14,199,71,3,4,47,19,2,74,14,1,6,0.304,0.389,0.445,0.834,0.374,122.8,3.36,0.9
에반스,3.2,138,581,514,82,152,19,0,27,252,90,2,0,61,3,0,114,15,0,3,0.296,0.372,0.49,0.862,0.379,128.7,3.2,3.05
양의지,3.03,111,406,347,47,96,15,0,14,153,67,1,1,43,12,1,53,17,1,3,0.277,0.373,0.441,0.814,0.364,116.8,3.03,0.77
최주환,2.53,129,452,399,65,120,16,6,7,169,57,3,2,38,9,1,58,10,1,5,0.301,0.37,0.424,0.794,0.357,108.7,2.53,0.88
김재호,2.17,91,331,283,34,83,18,1,7,124,50,7,1,36,3,1,52,6,2,7,0.293,0.371,0.438,0.809,0.358,111.2,2.17,1.09
박세혁,1.19,97,237,201,41,57,8,0,5,80,26,2,1,19,5,0,44,1,8,4,0.284,0.354,0.398,0.752,0.329,91.5,1.19,0.25
정진호,0.67,97,224,198,43,56,11,2,5,86,31,1,1,19,1,1,32,2,4,2,0.283,0.346,0.434,0.78,0.339,98.2,0.67,0.67
오재원,0.52,127,390,334,43,79,16,1,7,118,40,7,7,47,2,1,85,5,4,3,0.237,0.332,0.353,0.685,0.311,79.1,0.52,0.56
류지혁,0.41,125,330,297,60,77,13,4,3,107,26,7,5,21,4,0,55,2,8,0,0.259,0.317,0.36,0.677,0.301,70.7,0.41,0.01
허경민,0.38,130,422,369,50,95,22,1,3,128,40,8,4,29,10,0,48,15,12,2,0.257,0.327,0.347,0.674,0.302,71.8,0.38,-1.46
최재훈,0.08,6,8,7,1,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.429,0.5,0.429,0.929,0.439,161.2,0.08,-0.01
김강률,0.05,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0.927,488,0.05,0.02
서예일,0.03,22,25,23,5,6,2,0,0,8,2,0,0,1,0,0,6,1,1,0,0.261,0.292,0.348,0.64,0.278,55,0.03,-0.1
박유연,0.01,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.667,0.309,73.4,0.01,-0.01
황경태,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이용찬,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김명신,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
조수행,-0.02,80,52,47,17,13,2,0,0,15,2,3,2,4,1,0,12,0,0,0,0.277,0.346,0.319,0.665,0.315,79,-0.02,-0.27
이성곤,-0.05,4,5,5,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,0.185,-8.7,-0.05,0
이우성,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-132.7,-0.05,-0.29
국해성,-0.15,57,96,86,15,18,3,0,3,30,17,0,0,5,4,0,23,2,0,1,0.209,0.281,0.349,0.63,0.284,62.8,-0.15,-0.21
김민혁,-0.18,18,21,21,1,4,2,0,0,6,2,0,0,0,0,0,6,1,0,0,0.19,0.191,0.286,0.476,0.208,8.3,-0.18,-0.25
김인태,-0.31,31,44,43,5,8,1,0,2,15,4,0,0,1,0,0,11,0,0,0,0.186,0.205,0.349,0.553,0.237,33.2,-0.31,-0.45
신성현,-0.4,21,38,36,3,5,0,1,0,7,3,0,0,2,0,0,15,1,0,0,0.139,0.184,0.194,0.379,0.177,-15.4,-0.4,-0.29
구자욱,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,0.31,0.383,0.527,0.91,0.394,130.6,4.96,3.11
러프,3.92,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,0.315,0.396,0.569,0.965,0.414,142.6,3.92,4.12
박해민,2.22,144,638,570,96,162,25,8,7,224,54,40,12,50,1,0,78,6,8,9,0.284,0.338,0.393,0.731,0.325,85.6,2.22,1.49
이원석,1.46,121,459,411,55,109,20,1,18,185,62,2,0,34,4,2,80,4,4,6,0.265,0.323,0.45,0.773,0.333,89.2,1.46,0.55
조동찬,1.41,122,393,353,35,102,23,0,10,155,46,3,0,22,10,0,72,8,4,4,0.289,0.345,0.439,0.784,0.345,98.2,1.41,-0.2
이승엽,1.18,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,0.28,0.347,0.517,0.864,0.367,111.1,1.18,1.93
강한울,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0,0,57,4,9,1,0.303,0.344,0.34,0.684,0.312,77.8,1.02,-1.46
배영섭,0.91,92,244,218,39,66,11,1,6,97,26,1,0,19,3,1,44,5,3,1,0.303,0.365,0.445,0.81,0.357,106.3,0.91,-0.09
김성훈,0.82,47,166,151,27,48,4,2,0,56,18,4,2,12,1,0,16,2,1,1,0.318,0.37,0.371,0.741,0.341,97,0.82,0.12
김헌곤,0.54,123,404,356,51,94,13,2,9,138,47,11,2,29,8,0,45,11,8,3,0.264,0.331,0.388,0.718,0.318,80.4,0.54,-0.51
최경철,0.43,25,39,32,5,10,2,0,2,18,7,0,0,3,3,0,10,0,0,1,0.313,0.41,0.563,0.973,0.419,146.5,0.43,0.27
박한이,0.23,68,134,118,14,31,9,0,4,52,14,0,0,13,0,2,33,2,2,1,0.263,0.333,0.441,0.774,0.331,88.1,0.23,0.47
권정웅,0.22,60,112,99,11,21,3,0,6,42,11,0,0,8,1,0,31,4,4,0,0.212,0.278,0.424,0.702,0.294,62.1,0.22,-0.45
김정혁,0.1,31,91,84,15,23,5,0,0,28,13,3,1,4,2,0,18,1,0,1,0.274,0.319,0.333,0.652,0.301,70.6,0.1,0.45
최영진,0.05,14,22,20,4,4,0,2,1,11,4,1,0,1,0,0,4,0,1,0,0.2,0.238,0.55,0.788,0.303,66.7,0.05,0.46
최충연,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심창민,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박근홍,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
장필준,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김동호,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김승현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최원제,-0.07,11,18,18,3,4,3,0,0,7,3,0,0,0,0,0,6,1,0,0,0.222,0.222,0.389,0.611,0.261,43.2,-0.07,0.05
김상수,-0.07,42,154,144,17,38,7,0,3,54,13,1,1,5,1,0,26,4,3,1,0.264,0.291,0.375,0.666,0.291,62.7,-0.07,-0.76
김성윤,-0.1,22,14,12,3,1,0,0,1,4,2,0,0,2,0,0,7,0,0,0,0.083,0.214,0.333,0.548,0.24,24.8,-0.1,0.1
나원탁,-0.1,12,23,23,2,5,1,0,0,6,0,0,0,0,0,0,12,0,0,0,0.217,0.217,0.261,0.478,0.216,14.5,-0.1,-0.09
이영욱,-0.1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-132.7,-0.1,-0.06
이현동,-0.1,16,16,16,1,3,1,0,0,4,0,1,0,0,0,0,7,1,0,0,0.188,0.188,0.25,0.438,0.195,-0.7,-0.1,-0.22
문선엽,-0.1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-132.7,-0.1,-0.03
정병곤,-0.11,74,82,74,16,16,0,0,2,22,7,1,0,4,2,0,21,3,2,0,0.216,0.275,0.297,0.572,0.259,40.7,-0.11,0.08
안주형,-0.12,10,10,10,0,3,1,0,0,4,2,1,1,0,0,0,1,0,0,0,0.3,0.3,0.4,0.7,0.311,77.1,-0.12,-0.01
