선수,연도,팀,연봉(만원),WAR
양현종,2018,KIA,"230,000",5.209
헥터,2018,KIA,"170,000",2.964
최형우,2018,KIA,"150,000",4.367
윤석민,2018,KIA,"125,000",0.026
버나디나,2018,KIA,"75,000",3.724
팻딘,2018,KIA,"70,000",0.719
이범호,2018,KIA,"65,000",2.622
나지완,2018,KIA,"60,000",2.458
임창용,2018,KIA,"50,000",1.556
김주찬,2018,KIA,"40,000",2.328
안치홍,2018,KIA,"32,000",4.382
김세현,2018,KIA,"29,000",-0.233
김선빈,2018,KIA,"28,000",1.527
이명기,2018,KIA,"25,000",2.406
서동욱,2018,KIA,"18,500",-0.143
김윤동,2018,KIA,"15,000",2.37
김민식,2018,KIA,"15,000",0.941
임기영,2018,KIA,"13,000",0.41
심동섭,2018,KIA,"13,000",0.043
정성훈,2018,KIA,"10,000",0.718
홍건희,2018,KIA,"8,000",-0.229
김주형,2018,KIA,"7,500",-0.144
정용운,2018,KIA,"7,500",0.061
한승택,2018,KIA,"7,500",0.493
최원준,2018,KIA,"7,500",-0.099
신종길,2018,KIA,"7,000",
이영욱,2018,KIA,"6,500",-0.262
한승혁,2018,KIA,"6,500",0.434
유재신,2018,KIA,"6,500",0.238
김진우,2018,KIA,"6,000",
임기준,2018,KIA,"6,000",1.465
최정민,2018,KIA,"5,500",-0.364
손영민,2018,KIA,"5,500",
백용환,2018,KIA,"5,300",0.083
유민상,2018,KIA,"4,500",0.288
박지훈,2018,KIA,"4,200",
박경태,2018,KIA,"4,000",0.02
김다원,2018,KIA,"4,000",
오준혁,2018,KIA,"4,000",
곽정철,2018,KIA,"4,000",
김지성,2018,KIA,"4,000",0
이호신,2018,KIA,"3,800",
박준태,2018,KIA,"3,800",0.07
이준호,2018,KIA,"3,700",
이민우,2018,KIA,"3,500",-0.356
홍재호,2018,KIA,"3,500",-0.134
최병연,2018,KIA,"3,300",
박정수,2018,KIA,"3,300",-0.425
이인행,2018,KIA,"3,200",-0.055
문경찬,2018,KIA,"3,100",0.965
황윤호,2018,KIA,"3,100",-0.486
이종석,2018,KIA,"3,000",
전은석,2018,KIA,"3,000",
노관현,2018,KIA,"3,000",
이진경,2018,KIA,"2,900",
권유식,2018,KIA,"2,900",
김성민,2018,KIA,"2,900",
류승현,2018,KIA,"2,900",0.164
이윤학,2018,KIA,"2,900",
김종훈,2018,KIA,"2,900",
신범수,2018,KIA,"2,900",-0.231
박효일,2018,KIA,"2,900",
정윤환,2018,KIA,"2,800",
황인준,2018,KIA,"2,800",0.678
차명진,2018,KIA,"2,800",
고영창,2018,KIA,"2,800",0
오상엽,2018,KIA,"2,800",
김석환,2018,KIA,"2,800",-0.055
유승철,2018,KIA,"2,800",0.848
최승주,2018,KIA,"2,800",
송후섭,2018,KIA,"2,800",
강찬영,2018,KIA,"2,800",
박희주,2018,KIA,"2,700",
윤중현,2018,KIA,"2,700",
문장은,2018,KIA,"2,700",
백미카엘,2018,KIA,"2,700",
김승범,2018,KIA,"2,700",
윤희영,2018,KIA,"2,700",
이원빈,2018,KIA,"2,700",
하준영,2018,KIA,"2,700",-0.129
김유신,2018,KIA,"2,700",-0.238
한준수,2018,KIA,"2,700",
오정환,2018,KIA,"2,700",
러프,2018,삼성,"140,000",5.484
강민호,2018,삼성,"100,000",1.992
아델만,2018,삼성,"95,000",2.812
윤성환,2018,삼성,"80,000",-0.523
보니야,2018,삼성,"70,000",1.771
우규민,2018,삼성,"70,000",1.394
조동찬,2018,삼성,"40,000",-0.162
이원석,2018,삼성,"30,000",3.315
박해민,2018,삼성,"29,000",3.502
박한이,2018,삼성,"25,000",0.597
구자욱,2018,삼성,"25,000",3.907
김상수,2018,삼성,"24,000",1.039
심창민,2018,삼성,"23,000",1.859
이지영,2018,삼성,"21,000",1.569
장원삼,2018,삼성,"20,000",0.178
손주인,2018,삼성,"18,000",-0.816
강한울,2018,삼성,"15,500",-0.172
백정현,2018,삼성,"15,500",2.338
권오준,2018,삼성,"15,000",1.058
배영섭,2018,삼성,"13,000",-0.419
김대우,2018,삼성,"12,000",-0.429
김헌곤,2018,삼성,"8,500",1.691
박근홍,2018,삼성,"8,000",-0.101
이승현,2018,삼성,"7,000",-0.077
백상원,2018,삼성,"6,000",0.16
한기주,2018,삼성,"6,000",-0.051
김동호,2018,삼성,"6,000",
정인욱,2018,삼성,"5,700",0.485
박찬도,2018,삼성,"5,000",-0.323
김성훈,2018,삼성,"4,700",0.277
권정웅,2018,삼성,"4,500",-0.196
김기태,2018,삼성,"4,500",-0.12
최충연,2018,삼성,"4,500",2.981
정병곤,2018,삼성,"4,500",-0.328
김승현,2018,삼성,"4,000",0.563
황수범,2018,삼성,"3,800",-0.033
안성무,2018,삼성,"3,500",-0.034
임현준,2018,삼성,"3,500",0.641
최영진,2018,삼성,"3,300",0.334
김시현,2018,삼성,"3,300",-0.128
김민수,2018,삼성,"3,300",-0.038
최원제,2018,삼성,"3,200",0.025
최지광,2018,삼성,"3,100",-0.182
안주형,2018,삼성,"3,100",-0.179
김성윤,2018,삼성,"3,000",-0.051
김응민,2018,삼성,"3,000",-0.024
이현동,2018,삼성,"3,000",
이성곤,2018,삼성,"3,000",-0.139
안규현,2018,삼성,"2,900",
홍정우,2018,삼성,"2,900",
김영한,2018,삼성,"2,800",
김호재,2018,삼성,"2,800",-0.24
이수민,2018,삼성,"2,800",
김결의,2018,삼성,"2,800",
장지훈,2018,삼성,"2,800",0.038
정두산,2018,삼성,"2,800",
황선도,2018,삼성,"2,800",
서주원,2018,삼성,"2,700",
맹성주,2018,삼성,"2,700",
곽병선,2018,삼성,"2,700",
안도원,2018,삼성,"2,700",
채상준,2018,삼성,"2,700",
백승민,2018,삼성,"2,700",-0.18
이은형,2018,삼성,"2,700",
김동찬,2018,삼성,"2,700",
이재익,2018,삼성,"2,700",
김선우,2018,삼성,"2,700",
공민규,2018,삼성,"2,700",
박용민,2018,삼성,"2,700",
이케빈,2018,삼성,"2,700",
박세웅,2018,삼성,"2,700",
최종현,2018,삼성,"2,700",
문용익,2018,삼성,"2,700",
김태수,2018,삼성,"2,700",
곽경문,2018,삼성,"2,700",
최채흥,2018,삼성,"2,700",0.779
양창섭,2018,삼성,"2,700",1.423
김태우,2018,삼성,"2,700",
김용하,2018,삼성,"2,700",-0.057
이태훈,2018,삼성,"2,700",
윤정빈,2018,삼성,"2,700",
김윤수,2018,삼성,"2,700",
송준석,2018,삼성,"2,700",0.047
린드블럼,2018,두산,"135,000",6.813
장원준,2018,두산,"100,000",-2.191
후랭코프,2018,두산,"70,000",4.118
파레디스,2018,두산,"70,000",-0.739
김재호,2018,두산,"65,000",3.568
양의지,2018,두산,"60,000",6.643
오재원,2018,두산,"55,000",3.335
유희관,2018,두산,"50,000",-0.527
김재환,2018,두산,"47,000",6.246
이현승,2018,두산,"40,000",0.349
박건우,2018,두산,"37,000",3.399
오재일,2018,두산,"30,000",3.203
허경민,2018,두산,"26,500",4.054
이용찬,2018,두산,"23,500",3.913
최주환,2018,두산,"20,000",4.507
함덕주,2018,두산,"16,000",2.948
김강률,2018,두산,"15,000",1.04
박세혁,2018,두산,"10,000",1.322
김승회,2018,두산,"10,000",1.215
류지혁,2018,두산,"9,500",0.865
홍상삼,2018,두산,"9,000",0.246
정진호,2018,두산,"8,500",0.602
변진수,2018,두산,"6,000",-0.239
신성현,2018,두산,"5,700",-0.251
이현호,2018,두산,"5,200",0.269
김명신,2018,두산,"5,200",
국해성,2018,두산,"5,000",0.167
조수행,2018,두산,"4,500",-0.022
이영하,2018,두산,"4,200",1.316
최대성,2018,두산,"3,500",-0.438
김정후,2018,두산,"3,500",0.355
박치국,2018,두산,"3,400",1.72
고봉재,2018,두산,"3,300",
유재유,2018,두산,"3,200",-0.022
김인태,2018,두산,"3,200",0.011
김도현,2018,두산,"3,200",
임진우,2018,두산,"3,000",
김민혁,2018,두산,"3,000",0.005
백동훈,2018,두산,"3,000",0.037
양종민,2018,두산,"2,900",-0.031
황경태,2018,두산,"2,800",-0.21
박종기,2018,두산,"2,800",
최병욱,2018,두산,"2,800",
사공엽,2018,두산,"2,800",
박유연,2018,두산,"2,800",
장승현,2018,두산,"2,800",0.091
이우성,2018,두산,"2,800",
신민철,2018,두산,"2,700",
안준,2018,두산,"2,700",
박신지,2018,두산,"2,700",0.61
정철원,2018,두산,"2,700",
곽빈,2018,두산,"2,700",-0.362
전민재,2018,두산,"2,700",0.047
배창현,2018,두산,"2,700",
김호준,2018,두산,"2,700",
계정웅,2018,두산,"2,700",
권민석,2018,두산,"2,700",
정우석,2018,두산,"2,700",
신현수,2018,두산,"2,700",
현도훈,2018,두산,"2,700",
김승후,2018,두산,"2,700",
박성모,2018,두산,"2,700",-0.036
이승민,2018,두산,"2,700",
김민규,2018,두산,"2,700",-0.072
정기훈,2018,두산,"2,700",
방건우,2018,두산,"2,700",
남경호,2018,두산,"2,700",
문진제,2018,두산,"2,700",
김경호,2018,두산,"2,700",
한주성,2018,두산,"2,700",0.013
이동원,2018,두산,"2,700",
이지모,2018,두산,"2,700",
장민익,2018,두산,"2,700",-0.215
이원재,2018,두산,"2,700",
송주영,2018,두산,"2,700",
홍성호,2018,두산,"2,700",
이병휘,2018,두산,"2,700",-0.014
백민규,2018,두산,"2,700",
최동현,2018,두산,"2,700",
박성환,2018,두산,"2,700",
문대원,2018,두산,"2,700",
양구렬,2018,두산,"2,700",
신창희,2018,두산,"2,700",
정덕현,2018,두산,"2,700",
성영훈,2018,두산,"2,700",
켈리,2018,SK,"140,000",3.889
김광현,2018,SK,"140,000",5.263
최정,2018,SK,"120,000",3.804
산체스,2018,SK,"85,000",1.885
김강민,2018,SK,"60,000",1.511
로맥,2018,SK,"50,000",5.362
박정권,2018,SK,"40,000",-0.134
이재원,2018,SK,"35,000",4.134
나주환,2018,SK,"30,000",1.271
조동화,2018,SK,"30,000",
정의윤,2018,SK,"30,000",0.169
채병용,2018,SK,"30,000",0.507
김성현,2018,SK,"25,000",0.698
박종훈,2018,SK,"20,000",3.379
박희수,2018,SK,"18,500",0.829
한동민,2018,SK,"15,000",4.48
박정배,2018,SK,"14,000",0.26
윤희상,2018,SK,"13,000",0.712
노수광,2018,SK,"13,000",3.046
김동엽,2018,SK,"11,500",-0.123
신재웅,2018,SK,"11,000",1.683
임준혁,2018,SK,"9,500",0.014
이성우,2018,SK,"9,000",-0.025
김주한,2018,SK,"9,000",-0.32
문승원,2018,SK,"9,000",2.412
전유수,2018,SK,"8,500",0.197
이대수,2018,SK,"7,000",0.024
허도환,2018,SK,"6,800",0.104
조용호,2018,SK,"6,200",-0.271
정진기,2018,SK,"6,200",-0.898
서진용,2018,SK,"6,000",0.111
문광은,2018,SK,"6,000",
최승준,2018,SK,"5,600",0.059
김재현,2018,SK,"5,100",0.237
박승욱,2018,SK,"4,500",0.381
최항,2018,SK,"4,200",1.306
백인식,2018,SK,"4,000",-0.44
김태훈,2018,SK,"4,000",2.262
김택형,2018,SK,"4,000",-0.129
신동훈,2018,SK,"3,800",
허건엽,2018,SK,"3,400",
강지광,2018,SK,"3,000",-0.213
정영일,2018,SK,"3,000",-0.042
류효용,2018,SK,"3,000",
김대유,2018,SK,"3,000",
윤정우,2018,SK,"3,000",0.094
임재현,2018,SK,"3,000",
이윤재,2018,SK,"3,000",-0.025
남윤성,2018,SK,"2,800",0.133
최민재,2018,SK,"2,800",
전경원,2018,SK,"2,700",
최경태,2018,SK,"2,700",
강동권,2018,SK,"2,700",
이희재,2018,SK,"2,700",
최준우,2018,SK,"2,700",
이채호,2018,SK,"2,700",
김표승,2018,SK,"2,700",
홍준표,2018,SK,"2,700",
정영광,2018,SK,"2,700",
이재관,2018,SK,"2,700",
신동민,2018,SK,"2,700",
최상민,2018,SK,"2,700",
이정범,2018,SK,"2,700",
이재록,2018,SK,"2,700",
이동근,2018,SK,"2,700",
서동민,2018,SK,"2,700",
봉민호,2018,SK,"2,700",0.007
유호식,2018,SK,"2,700",
최민준,2018,SK,"2,700",-0.163
조성훈,2018,SK,"2,700",-0.063
박규민,2018,SK,"2,700",
최진호,2018,SK,"2,700",
허웅,2018,SK,"2,700",
박종욱,2018,SK,"2,700",
김성호,2018,SK,"2,700",
정동윤,2018,SK,"2,700",0.115
임석진,2018,SK,"2,700",
안상현,2018,SK,"2,700",0.027
하성진,2018,SK,"2,700",
김민재,2018,SK,"2,700",
최수빈,2018,SK,"2,700",
이원준,2018,SK,"2,700",-0.618
권기영,2018,SK,"2,700",
박성한,2018,SK,"2,700",-0.361
임태준,2018,SK,"2,700",
이승진,2018,SK,"2,700",0.556
김정우,2018,SK,"2,700",
정혁진,2018,SK,"2,700",
김현수,2018,LG,"140,000",5.561
소사,2018,LG,"120,000",4.952
차우찬,2018,LG,"100,000",0.814
박용택,2018,LG,"80,000",1.518
가르시아,2018,LG,"80,000",1.278
윌슨,2018,LG,"80,000",6.314
이동현,2018,LG,"60,000",-0.471
정상호,2018,LG,"50,000",-0.047
봉중근,2018,LG,"35,000",
류제국,2018,LG,"29,000",
오지환,2018,LG,"29,000",3.096
진해수,2018,LG,"19,000",-0.494
유강남,2018,LG,"18,500",3.579
양석환,2018,LG,"16,000",1.602
임정우,2018,LG,"14,000",0.036
임찬규,2018,LG,"11,500",0.396
채은성,2018,LG,"11,000",3.899
이형종,2018,LG,"10,500",3.234
신정락,2018,LG,"10,500",0.015
정찬헌,2018,LG,"9,500",1.159
김용의,2018,LG,"9,000",-0.668
안익훈,2018,LG,"9,000",-0.668
김지용,2018,LG,"9,000",0.352
이천웅,2018,LG,"8,000",2.104
임훈,2018,LG,"7,000",-0.367
김대현,2018,LG,"7,000",-1.194
문선재,2018,LG,"7,000",-0.216
김재율,2018,LG,"6,800",0.016
강승호,2018,LG,"6,600",
최동환,2018,LG,"6,500",0.678
최성훈,2018,LG,"6,000",0.456
윤지웅,2018,LG,"5,800",0.057
박지규,2018,LG,"5,000",-0.65
정주현,2018,LG,"5,000",1.037
윤진호,2018,LG,"4,200",-0.292
조윤준,2018,LG,"4,000",
고우석,2018,LG,"4,000",-0.005
여건욱,2018,LG,"4,000",0.299
임지섭,2018,LG,"3,700",-0.645
장시윤,2018,LG,"3,600",-0.053
서상우,2018,LG,"3,500",0.308
전인환,2018,LG,"3,500",0.102
김재민,2018,LG,"3,500",
장준원,2018,LG,"3,400",
배민관,2018,LG,"3,200",0.341
손주영,2018,LG,"3,000",-0.167
백승현,2018,LG,"3,000",-0.001
강병의,2018,LG,"3,000",
최민창,2018,LG,"3,000",
이우찬,2018,LG,"3,000",-0.271
김재성,2018,LG,"2,900",
김주성,2018,LG,"2,900",
윤대영,2018,LG,"2,900",-0.23
양원혁,2018,LG,"2,900",0.096
이강욱,2018,LG,"2,700",
송찬의,2018,LG,"2,700",
이나현,2018,LG,"2,700",
최우혁,2018,LG,"2,700",
김의준,2018,LG,"2,700",
문성주,2018,LG,"2,700",-0.053
이상규,2018,LG,"2,700",
오세민,2018,LG,"2,700",
류형우,2018,LG,"2,700",
진재혁,2018,LG,"2,700",
백남원,2018,LG,"2,700",
한석현,2018,LG,"2,700",
유원석,2018,LG,"2,700",
조선명,2018,LG,"2,700",
최현준,2018,LG,"2,700",
이재원,2018,LG,"2,700",
김기연,2018,LG,"2,700",0.004
배재준,2018,LG,"2,700",0.405
오석주,2018,LG,"2,700",
김광수,2018,LG,"2,700",
김태형,2018,LG,"2,700",-0.127
전준호,2018,LG,"2,700",
전호영,2018,LG,"2,700",
이찬혁,2018,LG,"2,700",
이창율,2018,LG,"2,700",
김성협,2018,LG,"2,700",
김영준,2018,LG,"2,700",0.245
성동현,2018,LG,"2,700",0.017
조학진,2018,LG,"2,700",
