Prediction_Rank,Rank_number,이름,target,prediction,Diff_Rank
0,6,최정,120000.0,117450.92595407333,6
1,28,김재환,47000.0,112400.63440098416,27
2,4,로사리오,150000.0,107739.1114521806,2
3,14,스크럭스,70000.0,101332.82148452576,11
4,3,최형우,150000.0,101187.84848211089,-1
5,22,초이스,60000.0,96258.99867210232,17
6,29,나성범,43000.0,94330.75436636287,23
7,5,러프,140000.0,93266.94142000278,-2
8,0,이대호,250000.0,87948.25852594682,-8
9,8,박용택,80000.0,86474.13107786178,-1
10,1,김태균,160000.0,83982.97514314677,-9
11,2,손아섭,150000.0,82476.01508046371,-9
12,18,나지완,60000.0,81282.50337772016,6
13,37,박건우,37000.0,80501.44095686996,24
14,10,버나디나,75000.0,79868.05873999678,-4
15,27,로맥,50000.0,74949.42804858803,12
16,9,로하스,80000.0,72593.74670941374,-7
17,16,이범호,65000.0,71432.6780868946,-1
18,12,이호준,75000.0,64500.643417601495,-6
19,33,김주찬,40000.0,63989.9396725123,14
20,30,최준석,40000.0,62179.093295397164,10
21,36,서건창,38000.0,61151.03063401739,15
22,15,정근우,70000.0,59880.91957509628,-7
23,13,번즈,73000.0,57602.55882267914,-10
24,7,강민호,100000.0,55697.780348112596,-17
25,19,유한준,60000.0,54011.831243720124,-6
26,34,박정권,40000.0,52218.551063373925,8
27,17,김재호,65000.0,52138.90066524329,-10
28,39,김민성,35000.0,51904.45486670924,11
29,20,양의지,60000.0,50551.59670954877,-9
30,31,이진영,40000.0,47445.93228160678,1
31,25,손시헌,50000.0,46819.3392861085,-6
32,11,박석민,75000.0,43866.43541221688,-21
33,35,조동찬,40000.0,43084.377623559485,2
34,26,이택근,50000.0,33817.6656545116,-8
35,23,오재원,55000.0,32630.574093397678,-12
36,38,이재원,35000.0,31598.488015849663,2
37,21,김강민,60000.0,25536.331794600366,-16
38,24,정상호,50000.0,24207.86010886423,-14
39,32,이용규,40000.0,20238.882151624814,-7
