이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA,target,WAR_min_max,WPA_min_max,wRC_min_max,OPS_min_max,타수1,득점1,안타1,X2타1,X3타1,홈런1,루타1,타점1,도루1,도실1,볼넷1,사구1,고41,삼진1,병살1,희타1,희비1
강한울,-0.04,93.0,224.0,208.0,32.0,55.0,5.0,4.0,0.0,68.0,14.0,4.0,2.0,8.0,1.0,0.0,44.0,1.0,6.0,1.0,0.264,0.294,0.327,0.621,0.279,46.8,-0.92,6000.0,0.03846153846153845,0.10174717368961972,0.49236641221374045,0.48214285714285715,0.9285714285714286,0.14285714285714285,0.24553571428571427,0.022321428571428572,0.017857142857142856,0.0,0.30357142857142855,0.0625,0.017857142857142856,0.008928571428571428,0.03571428571428571,0.004464285714285714,0.0,0.19642857142857142,0.004464285714285714,0.026785714285714284,0.004464285714285714
김다원,0.42,86.0,210.0,189.0,21.0,51.0,13.0,1.0,5.0,81.0,17.0,2.0,2.0,12.0,5.0,0.0,53.0,3.0,3.0,1.0,0.27,0.329,0.429,0.757,0.335,84.7,-1.3,7000.0,0.07960644007155634,0.06269270298047275,0.5956924754634678,0.5877329192546584,0.9,0.1,0.24285714285714285,0.06190476190476191,0.004761904761904762,0.023809523809523808,0.38571428571428573,0.08095238095238096,0.009523809523809525,0.009523809523809525,0.05714285714285714,0.023809523809523808,0.0,0.2523809523809524,0.014285714285714285,0.014285714285714285,0.004761904761904762
김민우,0.87,87.0,210.0,167.0,34.0,42.0,10.0,0.0,3.0,61.0,15.0,7.0,2.0,36.0,1.0,0.0,46.0,2.0,6.0,0.0,0.252,0.387,0.365,0.753,0.348,93.6,0.36,12000.0,0.11985688729874774,0.23329907502569372,0.6199563794983642,0.5846273291925466,0.7952380952380952,0.1619047619047619,0.2,0.047619047619047616,0.0,0.014285714285714285,0.2904761904761905,0.07142857142857142,0.03333333333333333,0.009523809523809525,0.17142857142857143,0.004761904761904762,0.0,0.21904761904761905,0.009523809523809525,0.02857142857142857,0.0
김선빈,0.09,33.0,98.0,93.0,7.0,27.0,4.0,0.0,0.0,31.0,9.0,2.0,0.0,3.0,0.0,0.0,10.0,3.0,2.0,0.0,0.29,0.313,0.333,0.646,0.295,59.1,-0.5,13000.0,0.050089445438282636,0.144912641315519,0.5258996728462377,0.5015527950310559,0.9489795918367347,0.07142857142857142,0.2755102040816326,0.04081632653061224,0.0,0.0,0.3163265306122449,0.09183673469387756,0.02040816326530612,0.0,0.030612244897959183,0.0,0.0,0.10204081632653061,0.030612244897959183,0.02040816326530612,0.0
김원섭,0.08,44.0,101.0,80.0,21.0,18.0,4.0,1.0,0.0,24.0,13.0,3.0,1.0,17.0,0.0,0.0,13.0,2.0,2.0,2.0,0.225,0.354,0.3,0.654,0.312,69.3,0.87,15000.0,0.04919499105545616,0.2857142857142857,0.5537077426390403,0.5077639751552795,0.7920792079207921,0.2079207920792079,0.1782178217821782,0.039603960396039604,0.009900990099009901,0.0,0.2376237623762376,0.12871287128712872,0.0297029702970297,0.009900990099009901,0.16831683168316833,0.0,0.0,0.12871287128712872,0.019801980198019802,0.019801980198019802,0.019801980198019802
김주찬,3.06,100.0,442.0,399.0,72.0,138.0,32.0,4.0,9.0,205.0,46.0,22.0,10.0,31.0,4.0,2.0,48.0,11.0,6.0,2.0,0.346,0.397,0.514,0.911,0.399,127.7,2.47,50000.0,0.31574239713774593,0.4501541623843782,0.7129225736095965,0.7072981366459627,0.9027149321266968,0.16289592760180996,0.31221719457013575,0.07239819004524888,0.00904977375565611,0.020361990950226245,0.4638009049773756,0.10407239819004525,0.049773755656108594,0.02262443438914027,0.07013574660633484,0.00904977375565611,0.004524886877828055,0.1085972850678733,0.024886877828054297,0.013574660633484163,0.004524886877828055
김주형,0.0,64.0,176.0,151.0,16.0,37.0,4.0,0.0,7.0,62.0,26.0,0.0,3.0,17.0,2.0,0.0,19.0,3.0,4.0,2.0,0.245,0.326,0.411,0.736,0.323,77.4,-0.04,5500.0,0.042039355992844356,0.1921891058581706,0.5757906215921483,0.5714285714285714,0.8579545454545454,0.09090909090909091,0.21022727272727273,0.022727272727272728,0.0,0.03977272727272727,0.3522727272727273,0.14772727272727273,0.0,0.017045454545454544,0.09659090909090909,0.011363636363636364,0.0,0.10795454545454546,0.017045454545454544,0.022727272727272728,0.011363636363636364
나지완,2.83,118.0,470.0,398.0,64.0,124.0,22.0,0.0,19.0,203.0,79.0,3.0,3.0,54.0,12.0,4.0,97.0,9.0,0.0,6.0,0.312,0.404,0.51,0.914,0.403,129.8,2.05,20000.0,0.295169946332737,0.4069886947584789,0.7186477644492912,0.7096273291925467,0.8468085106382979,0.13617021276595745,0.26382978723404255,0.04680851063829787,0.0,0.04042553191489362,0.4319148936170213,0.16808510638297872,0.006382978723404255,0.006382978723404255,0.1148936170212766,0.02553191489361702,0.00851063829787234,0.20638297872340425,0.019148936170212766,0.0,0.01276595744680851
박기남,0.5,90.0,202.0,171.0,21.0,49.0,9.0,0.0,3.0,67.0,21.0,2.0,5.0,22.0,2.0,0.0,25.0,5.0,5.0,2.0,0.287,0.371,0.392,0.762,0.345,92.0,0.05,10000.0,0.08676207513416814,0.2014388489208633,0.6155943293347874,0.5916149068322981,0.8465346534653465,0.10396039603960396,0.24257425742574257,0.04455445544554455,0.0,0.01485148514851485,0.3316831683168317,0.10396039603960396,0.009900990099009901,0.024752475247524754,0.10891089108910891,0.009900990099009901,0.0,0.12376237623762376,0.024752475247524754,0.024752475247524754,0.009900990099009901
박준태,0.27,32.0,55.0,42.0,6.0,11.0,0.0,0.0,0.0,11.0,2.0,2.0,0.0,8.0,5.0,0.0,18.0,1.0,0.0,0.0,0.262,0.436,0.262,0.698,0.366,102.6,0.28,3400.0,0.0661896243291592,0.2250770811921891,0.6444929116684842,0.5419254658385093,0.7636363636363637,0.10909090909090909,0.2,0.0,0.0,0.0,0.2,0.03636363636363636,0.03636363636363636,0.0,0.14545454545454545,0.09090909090909091,0.0,0.32727272727272727,0.01818181818181818,0.0,0.0
