이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
양의지,5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1,3.31,42000
김재호,3.64,133,488,410,63,126,24,3,3,165,50,7,2,54,3,0,42,18,14,7,0.307,0.386,0.402,0.789,0.354,105.3,-0.4,41000
허경민,2.88,117,453,404,64,128,20,2,1,155,41,8,3,31,7,0,42,11,8,3,0.317,0.373,0.384,0.757,0.346,98.9,-0.08,20000
민병헌,2.62,129,561,491,80,149,20,2,12,209,75,7,3,50,8,0,74,15,6,6,0.303,0.373,0.426,0.799,0.36,112.3,3.13,35000
정수빈,2.29,128,570,491,79,145,27,7,2,192,59,15,9,43,11,1,70,9,19,6,0.295,0.361,0.391,0.752,0.334,91.2,0.55,28000
오재원,2.08,120,474,411,60,115,20,2,11,172,59,31,8,47,4,1,94,9,7,4,0.28,0.356,0.418,0.775,0.345,102.6,0.82,55000
오재일,1.84,66,213,180,33,52,11,1,14,107,36,0,0,28,2,2,49,5,1,2,0.289,0.387,0.594,0.981,0.414,158.4,1.11,9500
박건우,1.47,70,175,158,31,54,12,0,5,81,26,2,1,12,3,0,29,2,2,0,0.342,0.399,0.513,0.912,0.403,143.3,0.97,7000
최주환,1.25,100,270,238,34,67,16,2,5,102,32,0,3,25,3,2,34,6,3,1,0.282,0.356,0.429,0.784,0.349,104.7,0.1,11000
고영민,0.68,41,77,67,13,22,1,0,3,32,11,4,2,6,3,0,22,4,0,1,0.328,0.403,0.478,0.88,0.397,138.8,-0.6,15000
김재환,0.48,48,180,153,24,36,8,0,7,65,22,4,1,22,2,1,39,6,1,2,0.235,0.335,0.425,0.76,0.336,100.9,0.59,5000
국해성,0.11,11,26,20,6,4,1,0,1,8,5,0,0,2,1,0,5,2,1,2,0.2,0.28,0.4,0.68,0.281,63.9,-0.25,3000
김진형,0.1,14,21,18,3,3,2,0,1,8,2,0,0,3,0,0,7,1,0,0,0.167,0.286,0.444,0.73,0.317,91.2,-0.01,3000
홍성흔,0.09,93,352,301,39,79,12,0,7,112,46,8,1,42,5,1,59,13,4,0,0.262,0.362,0.372,0.734,0.338,97.7,0.79,40000
류지혁,0.07,14,5,5,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,0.187,-12.1,0,3000
정진호,0.03,77,172,154,37,36,5,3,4,59,18,6,3,14,1,0,24,0,3,0,0.234,0.302,0.383,0.685,0.304,74.6,0.21,5200
구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,0.349,0.417,0.534,0.951,0.422,148.4,1.81,8000
최형우,4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,9,7,101,13,0,8,0.318,0.402,0.563,0.965,0.416,143.3,3.48,70000
박해민,3.52,144,608,525,96,154,22,7,0,190,47,60,8,56,2,1,126,8,23,2,0.293,0.362,0.362,0.724,0.326,85.2,1.65,15000
이승엽,3.14,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.949,0.412,140.4,2.52,1.00E+05
